{1         JetEta              3          JetPt           JetA            Rho               1-[0]*y*z/x     Correction      L1FastJet}
-5           -4.9              7              1           5000              0           1000              0           1000          0.313              
-4.9           -4.8              7              1           5000              0           1000              0           1000          0.409              
-4.8           -4.7              7              1           5000              0           1000              0           1000         0.4601              
-4.7           -4.6              7              1           5000              0           1000              0           1000         0.5325              
-4.6           -4.5              7              1           5000              0           1000              0           1000         0.5781              
-4.5           -4.4              7              1           5000              0           1000              0           1000         0.6741              
-4.4           -4.3              7              1           5000              0           1000              0           1000          0.711              
-4.3           -4.2              7              1           5000              0           1000              0           1000         0.7267              
-4.2           -4.1              7              1           5000              0           1000              0           1000         0.8017              
-4.1             -4              7              1           5000              0           1000              0           1000         0.7674              
-4           -3.9              7              1           5000              0           1000              0           1000         0.8333              
-3.9           -3.8              7              1           5000              0           1000              0           1000         0.7721              
-3.8           -3.7              7              1           5000              0           1000              0           1000          0.799              
-3.7           -3.6              7              1           5000              0           1000              0           1000         0.7757              
-3.6           -3.5              7              1           5000              0           1000              0           1000         0.7457              
-3.5           -3.4              7              1           5000              0           1000              0           1000         0.7604              
-3.4           -3.3              7              1           5000              0           1000              0           1000         0.6627              
-3.3           -3.2              7              1           5000              0           1000              0           1000         1.0203              
-3.2           -3.1              7              1           5000              0           1000              0           1000         1.2934              
-3.1             -3              7              1           5000              0           1000              0           1000         1.5796              
-3           -2.9              7              1           5000              0           1000              0           1000         1.7062              
-2.9           -2.8              7              1           5000              0           1000              0           1000         1.7228              
-2.8           -2.7              7              1           5000              0           1000              0           1000         1.9352              
-2.7           -2.6              7              1           5000              0           1000              0           1000         1.9542              
-2.6           -2.5              7              1           5000              0           1000              0           1000         1.9075              
-2.5           -2.4              7              1           5000              0           1000              0           1000         1.5736              
-2.4           -2.3              7              1           5000              0           1000              0           1000         1.4557              
-2.3           -2.2              7              1           5000              0           1000              0           1000          1.533              
-2.2           -2.1              7              1           5000              0           1000              0           1000         1.5461              
-2.1             -2              7              1           5000              0           1000              0           1000         1.4778              
-2           -1.9              7              1           5000              0           1000              0           1000         1.2962              
-1.9           -1.8              7              1           5000              0           1000              0           1000         1.1963              
-1.8           -1.7              7              1           5000              0           1000              0           1000         1.1313              
-1.7           -1.6              7              1           5000              0           1000              0           1000         1.1105              
-1.6           -1.5              7              1           5000              0           1000              0           1000         1.0983              
-1.5           -1.4              7              1           5000              0           1000              0           1000           1.09              
-1.4           -1.3              7              1           5000              0           1000              0           1000         1.0912              
-1.3           -1.2              7              1           5000              0           1000              0           1000         1.1343              
-1.2           -1.1              7              1           5000              0           1000              0           1000         1.1364              
-1.1             -1              7              1           5000              0           1000              0           1000         1.1347              
-1           -0.9              7              1           5000              0           1000              0           1000         1.1119              
-0.9           -0.8              7              1           5000              0           1000              0           1000         1.0759              
-0.8           -0.7              7              1           5000              0           1000              0           1000         1.0521              
-0.7           -0.6              7              1           5000              0           1000              0           1000         1.0479              
-0.6           -0.5              7              1           5000              0           1000              0           1000         1.0332              
-0.5           -0.4              7              1           5000              0           1000              0           1000         1.0261              
-0.4           -0.3              7              1           5000              0           1000              0           1000         1.0154              
-0.3           -0.2              7              1           5000              0           1000              0           1000         1.0021              
-0.2           -0.1              7              1           5000              0           1000              0           1000         1.0087              
-0.1              0              7              1           5000              0           1000              0           1000         1.0088              
0            0.1              7              1           5000              0           1000              0           1000         1.0104              
0.1            0.2              7              1           5000              0           1000              0           1000         1.0047              
0.2            0.3              7              1           5000              0           1000              0           1000         1.0095              
0.3            0.4              7              1           5000              0           1000              0           1000         1.0208              
0.4            0.5              7              1           5000              0           1000              0           1000         1.0231              
0.5            0.6              7              1           5000              0           1000              0           1000         1.0251              
0.6            0.7              7              1           5000              0           1000              0           1000         1.0442              
0.7            0.8              7              1           5000              0           1000              0           1000         1.0576              
0.8            0.9              7              1           5000              0           1000              0           1000         1.0672              
0.9              1              7              1           5000              0           1000              0           1000         1.1109              
1            1.1              7              1           5000              0           1000              0           1000         1.1272              
1.1            1.2              7              1           5000              0           1000              0           1000         1.1377              
1.2            1.3              7              1           5000              0           1000              0           1000         1.1343              
1.3            1.4              7              1           5000              0           1000              0           1000         1.1017              
1.4            1.5              7              1           5000              0           1000              0           1000         1.0787              
1.5            1.6              7              1           5000              0           1000              0           1000         1.0869              
1.6            1.7              7              1           5000              0           1000              0           1000         1.1015              
1.7            1.8              7              1           5000              0           1000              0           1000         1.1417              
1.8            1.9              7              1           5000              0           1000              0           1000         1.2007              
1.9              2              7              1           5000              0           1000              0           1000         1.3065              
2            2.1              7              1           5000              0           1000              0           1000         1.4831              
2.1            2.2              7              1           5000              0           1000              0           1000         1.5699              
2.2            2.3              7              1           5000              0           1000              0           1000          1.553              
2.3            2.4              7              1           5000              0           1000              0           1000         1.4894              
2.4            2.5              7              1           5000              0           1000              0           1000         1.5853              
2.5            2.6              7              1           5000              0           1000              0           1000         1.9249              
2.6            2.7              7              1           5000              0           1000              0           1000         1.9676              
2.7            2.8              7              1           5000              0           1000              0           1000         1.9432              
2.8            2.9              7              1           5000              0           1000              0           1000         1.7282              
2.9              3              7              1           5000              0           1000              0           1000         1.7057              
3            3.1              7              1           5000              0           1000              0           1000         1.5825              
3.1            3.2              7              1           5000              0           1000              0           1000         1.3058              
3.2            3.3              7              1           5000              0           1000              0           1000          1.003              
3.3            3.4              7              1           5000              0           1000              0           1000         0.6691              
3.4            3.5              7              1           5000              0           1000              0           1000         0.7643              
3.5            3.6              7              1           5000              0           1000              0           1000         0.7408              
3.6            3.7              7              1           5000              0           1000              0           1000          0.778              
3.7            3.8              7              1           5000              0           1000              0           1000         0.7962              
3.8            3.9              7              1           5000              0           1000              0           1000         0.7708              
3.9              4              7              1           5000              0           1000              0           1000         0.8272              
4            4.1              7              1           5000              0           1000              0           1000          0.761              
4.1            4.2              7              1           5000              0           1000              0           1000         0.8035              
4.2            4.3              7              1           5000              0           1000              0           1000         0.7287              
4.3            4.4              7              1           5000              0           1000              0           1000         0.7149              
4.4            4.5              7              1           5000              0           1000              0           1000         0.6708              
4.5            4.6              7              1           5000              0           1000              0           1000         0.5785              
4.6            4.7              7              1           5000              0           1000              0           1000         0.5412              
4.7            4.8              7              1           5000              0           1000              0           1000         0.4635              
4.8            4.9              7              1           5000              0           1000              0           1000          0.409              
4.9              5              7              1           5000              0           1000              0           1000         0.3129              
